KodePelanggan,NamaPelanggan,INV,KodeBarang,NamaBarang,Tanggal,Termin,Kuantitas,Satuan,Harga,Penjualan,KategoriPelanggan,Lokasi
C004,PT Makmur Bersama,INV20200106732,B004,Keyboard Mechanical,1/6/2020,N15,8,Pcs,1917550,15340400,Retail,Medan
C003,UD Sentosa,INV20200106110,B002,Printer Epson,1/6/2020,N30,9,Unit,1062381,9561429,Retail,Surabaya
C004,PT Makmur Bersama,INV20200106530,B004,Keyboard Mechanical,1/6/2020,N30,20,Pcs,1222746,24454920,Distributor,Medan
C001,PT Sinar Jaya,INV20200106813,B002,Printer Epson,1/6/2020,N30,2,Pcs,1631343,3262686,Grosir,Jakarta
C003,UD Sentosa,INV20200106752,B004,Keyboard Mechanical,1/6/2020,N7,9,Unit,833465,7501185,Grosir,Surabaya
C001,PT Sinar Jaya,INV20200107296,B001,Laptop Lenovo,1/7/2020,N7,15,Pcs,1686527,25297905,Retail,Jakarta
C002,CV Maju Terus,INV20200107810,B003,Mouse Logitech,1/7/2020,N15,4,Unit,364261,1457044,Retail,Bandung
C003,UD Sentosa,INV20200108254,B004,Keyboard Mechanical,1/8/2020,N7,3,Pcs,1756445,5269335,Retail,Surabaya
C001,PT Sinar Jaya,INV20200108432,B002,Printer Epson,1/8/2020,N15,6,Pcs,211721,1270326,Retail,Jakarta
C005,CV Berkah Abadi,INV20200109993,B001,Laptop Lenovo,1/9/2020,N15,17,Pcs,1012301,17209117,Distributor,Semarang
C003,UD Sentosa,INV20200110806,B004,Keyboard Mechanical,1/10/2020,N15,6,Pcs,1023031,6138186,Retail,Surabaya
C001,PT Sinar Jaya,INV20200110494,B002,Printer Epson,1/10/2020,N30,7,Pcs,289267,2024869,Distributor,Jakarta
C004,PT Makmur Bersama,INV20200111650,B002,Printer Epson,1/11/2020,N15,1,Unit,183361,183361,Distributor,Medan
C003,UD Sentosa,INV20200111995,B003,Mouse Logitech,1/11/2020,N15,3,Unit,327821,983463,Grosir,Surabaya
C001,PT Sinar Jaya,INV20200112766,B001,Laptop Lenovo,1/12/2020,N15,7,Pcs,413023,2891161,Retail,Jakarta
C005,CV Berkah Abadi,INV20200113324,B005,Monitor Samsung,1/13/2020,N30,16,Pcs,1460255,23364080,Grosir,Semarang
C004,PT Makmur Bersama,INV20200113943,B003,Mouse Logitech,1/13/2020,N7,7,Pcs,975230,6826610,Distributor,Medan
C003,UD Sentosa,INV20200114490,B005,Monitor Samsung,1/14/2020,N30,20,Pcs,1164983,23299660,Grosir,Surabaya
C001,PT Sinar Jaya,INV20200114840,B005,Monitor Samsung,1/14/2020,N7,3,Unit,455321,1365963,Distributor,Jakarta
C002,CV Maju Terus,INV20200114760,B001,Laptop Lenovo,1/14/2020,N7,8,Unit,1938662,15509296,Grosir,Bandung
C001,PT Sinar Jaya,INV20200114581,B005,Monitor Samsung,1/14/2020,N15,5,Pcs,1055518,5277590,Grosir,Jakarta
C005,CV Berkah Abadi,INV20200114321,B004,Keyboard Mechanical,1/14/2020,N15,1,Unit,1148254,1148254,Distributor,Semarang
C005,CV Berkah Abadi,INV20200114826,B005,Monitor Samsung,1/14/2020,N30,14,Pcs,1657174,23200436,Grosir,Semarang
C004,PT Makmur Bersama,INV20200115440,B005,Monitor Samsung,1/15/2020,N15,6,Pcs,1946440,11678640,Retail,Medan
C004,PT Makmur Bersama,INV20200115158,B002,Printer Epson,1/15/2020,N30,11,Unit,1209004,13299044,Retail,Medan
C004,PT Makmur Bersama,INV20200116319,B003,Mouse Logitech,1/16/2020,N30,14,Unit,1493846,20913844,Grosir,Medan
C002,CV Maju Terus,INV20200116189,B001,Laptop Lenovo,1/16/2020,N30,12,Unit,761239,9134868,Retail,Bandung
C001,PT Sinar Jaya,INV20200116238,B001,Laptop Lenovo,1/16/2020,N30,14,Unit,420852,5891928,Distributor,Jakarta
C002,CV Maju Terus,INV20200116274,B005,Monitor Samsung,1/16/2020,N30,19,Unit,226235,4298465,Retail,Bandung
C001,PT Sinar Jaya,INV20200116475,B003,Mouse Logitech,1/16/2020,N15,1,Unit,663455,663455,Retail,Jakarta
C002,CV Maju Terus,INV20200117675,B003,Mouse Logitech,1/17/2020,N30,14,Unit,1827296,25582144,Grosir,Bandung
C003,UD Sentosa,INV20200117732,B004,Keyboard Mechanical,1/17/2020,N30,17,Unit,1744698,29659866,Retail,Surabaya
C005,CV Berkah Abadi,INV20200117933,B001,Laptop Lenovo,1/17/2020,N7,14,Pcs,1302595,18236330,Retail,Semarang
C003,UD Sentosa,INV20200119543,B005,Monitor Samsung,1/19/2020,N15,18,Pcs,689569,12412242,Retail,Surabaya
C003,UD Sentosa,INV20200119369,B005,Monitor Samsung,1/19/2020,N30,10,Pcs,947676,9476760,Grosir,Surabaya
C002,CV Maju Terus,INV20200119504,B004,Keyboard Mechanical,1/19/2020,N7,14,Unit,845708,11839912,Distributor,Bandung
C005,CV Berkah Abadi,INV20200120577,B002,Printer Epson,1/20/2020,N30,10,Pcs,385624,3856240,Distributor,Semarang
C005,CV Berkah Abadi,INV20200120740,B003,Mouse Logitech,1/20/2020,N15,3,Pcs,1983416,5950248,Grosir,Semarang
C003,UD Sentosa,INV20200120590,B005,Monitor Samsung,1/20/2020,N7,18,Pcs,948086,17065548,Grosir,Surabaya
C002,CV Maju Terus,INV20200120913,B005,Monitor Samsung,1/20/2020,N15,15,Unit,1410020,21150300,Grosir,Bandung
C005,CV Berkah Abadi,INV20200120164,B001,Laptop Lenovo,1/20/2020,N7,6,Pcs,742024,4452144,Distributor,Semarang
C002,CV Maju Terus,INV20200121512,B002,Printer Epson,1/21/2020,N7,8,Unit,229015,1832120,Retail,Bandung
C004,PT Makmur Bersama,INV20200121458,B004,Keyboard Mechanical,1/21/2020,N15,9,Pcs,1119599,10076391,Retail,Medan
C005,CV Berkah Abadi,INV20200122977,B004,Keyboard Mechanical,1/22/2020,N15,7,Unit,641266,4488862,Distributor,Semarang
C001,PT Sinar Jaya,INV20200122571,B003,Mouse Logitech,1/22/2020,N7,13,Unit,1812848,23567024,Retail,Jakarta
C001,PT Sinar Jaya,INV20200122626,B005,Monitor Samsung,1/22/2020,N15,2,Unit,873246,1746492,Grosir,Jakarta
C002,CV Maju Terus,INV20200122623,B003,Mouse Logitech,1/22/2020,N7,15,Unit,411423,6171345,Retail,Bandung
C002,CV Maju Terus,INV20200122615,B002,Printer Epson,1/22/2020,N30,6,Unit,683848,4103088,Distributor,Bandung
C001,PT Sinar Jaya,INV20200122444,B005,Monitor Samsung,1/22/2020,N7,19,Unit,1365063,25936197,Grosir,Jakarta
C004,PT Makmur Bersama,INV20200123543,B001,Laptop Lenovo,1/23/2020,N15,1,Unit,1519226,1519226,Retail,Medan
C001,PT Sinar Jaya,INV20200124999,B004,Keyboard Mechanical,1/24/2020,N30,8,Unit,827783,6622264,Distributor,Jakarta
C002,CV Maju Terus,INV20200124173,B001,Laptop Lenovo,1/24/2020,N15,7,Pcs,1278409,8948863,Grosir,Bandung
C001,PT Sinar Jaya,INV20200124682,B005,Monitor Samsung,1/24/2020,N30,4,Pcs,1627042,6508168,Distributor,Jakarta
C001,PT Sinar Jaya,INV20200125744,B005,Monitor Samsung,1/25/2020,N15,12,Pcs,1456779,17481348,Grosir,Jakarta
C003,UD Sentosa,INV20200125430,B003,Mouse Logitech,1/25/2020,N15,6,Unit,573040,3438240,Retail,Surabaya
C005,CV Berkah Abadi,INV20200126772,B002,Printer Epson,1/26/2020,N7,8,Unit,1637786,13102288,Distributor,Semarang
C002,CV Maju Terus,INV20200126392,B001,Laptop Lenovo,1/26/2020,N15,6,Unit,1432745,8596470,Distributor,Bandung
C002,CV Maju Terus,INV20200126981,B005,Monitor Samsung,1/26/2020,N15,15,Unit,167136,2507040,Distributor,Bandung
C004,PT Makmur Bersama,INV20200126892,B004,Keyboard Mechanical,1/26/2020,N7,20,Unit,1822836,36456720,Grosir,Medan
C002,CV Maju Terus,INV20200127120,B001,Laptop Lenovo,1/27/2020,N30,16,Pcs,734473,11751568,Retail,Bandung
C001,PT Sinar Jaya,INV20200128612,B002,Printer Epson,1/28/2020,N15,1,Pcs,1265902,1265902,Distributor,Jakarta
C003,UD Sentosa,INV20200129218,B004,Keyboard Mechanical,1/29/2020,N7,12,Unit,1384259,16611108,Retail,Surabaya
C005,CV Berkah Abadi,INV20200129102,B002,Printer Epson,1/29/2020,N30,13,Pcs,499161,6489093,Distributor,Semarang
C002,CV Maju Terus,INV20200129466,B004,Keyboard Mechanical,1/29/2020,N7,10,Pcs,562589,5625890,Retail,Bandung
C003,UD Sentosa,INV20200130859,B004,Keyboard Mechanical,1/30/2020,N15,2,Pcs,387742,775484,Distributor,Surabaya
C005,CV Berkah Abadi,INV20200131187,B001,Laptop Lenovo,1/31/2020,N7,9,Pcs,1385359,12468231,Grosir,Semarang
C002,CV Maju Terus,INV20200131777,B001,Laptop Lenovo,1/31/2020,N15,19,Pcs,393797,7482143,Retail,Bandung
C002,CV Maju Terus,INV20200131327,B004,Keyboard Mechanical,1/31/2020,N30,18,Pcs,901084,16219512,Distributor,Bandung
C003,UD Sentosa,INV20200201708,B001,Laptop Lenovo,2/1/2020,N15,2,Unit,660756,1321512,Grosir,Surabaya
C004,PT Makmur Bersama,INV20200201837,B005,Monitor Samsung,2/1/2020,N15,6,Unit,1913360,11480160,Retail,Medan
C002,CV Maju Terus,INV20200202386,B001,Laptop Lenovo,2/2/2020,N30,14,Unit,1778592,24900288,Retail,Bandung
C001,PT Sinar Jaya,INV20200202541,B001,Laptop Lenovo,2/2/2020,N15,12,Unit,1646711,19760532,Retail,Jakarta
C002,CV Maju Terus,INV20200202908,B001,Laptop Lenovo,2/2/2020,N30,20,Unit,1492847,29856940,Grosir,Bandung
C003,UD Sentosa,INV20200202862,B002,Printer Epson,2/2/2020,N15,10,Unit,1471778,14717780,Distributor,Surabaya
C004,PT Makmur Bersama,INV20200202815,B004,Keyboard Mechanical,2/2/2020,N15,4,Pcs,299763,1199052,Grosir,Medan
C003,UD Sentosa,INV20200203998,B002,Printer Epson,2/3/2020,N15,11,Pcs,792604,8718644,Grosir,Surabaya
C002,CV Maju Terus,INV20200203609,B001,Laptop Lenovo,2/3/2020,N7,1,Unit,676865,676865,Retail,Bandung
C003,UD Sentosa,INV20200203737,B005,Monitor Samsung,2/3/2020,N15,3,Unit,1387876,4163628,Grosir,Surabaya
C004,PT Makmur Bersama,INV20200203719,B005,Monitor Samsung,2/3/2020,N7,11,Unit,1460575,16066325,Retail,Medan
C003,UD Sentosa,INV20200203231,B003,Mouse Logitech,2/3/2020,N15,13,Unit,1421059,18473767,Retail,Surabaya
C002,CV Maju Terus,INV20200203555,B005,Monitor Samsung,2/3/2020,N30,7,Pcs,1643216,11502512,Distributor,Bandung
C001,PT Sinar Jaya,INV20200203473,B003,Mouse Logitech,2/3/2020,N30,14,Pcs,1056787,14795018,Distributor,Jakarta
C005,CV Berkah Abadi,INV20200204819,B003,Mouse Logitech,2/4/2020,N15,9,Pcs,1913743,17223687,Distributor,Semarang
C005,CV Berkah Abadi,INV20200204808,B001,Laptop Lenovo,2/4/2020,N15,20,Unit,345598,6911960,Distributor,Semarang
C003,UD Sentosa,INV20200204164,B005,Monitor Samsung,2/4/2020,N7,10,Unit,583705,5837050,Grosir,Surabaya
C001,PT Sinar Jaya,INV20200204639,B002,Printer Epson,2/4/2020,N15,11,Pcs,270768,2978448,Grosir,Jakarta
C002,CV Maju Terus,INV20200204546,B004,Keyboard Mechanical,2/4/2020,N15,18,Unit,203085,3655530,Grosir,Bandung
C002,CV Maju Terus,INV20200204426,B005,Monitor Samsung,2/4/2020,N15,16,Pcs,1390974,22255584,Distributor,Bandung
C004,PT Makmur Bersama,INV20200204172,B003,Mouse Logitech,2/4/2020,N7,4,Unit,1111832,4447328,Grosir,Medan
C002,CV Maju Terus,INV20200205696,B002,Printer Epson,2/5/2020,N7,6,Pcs,1939256,11635536,Grosir,Bandung
C003,UD Sentosa,INV20200205633,B005,Monitor Samsung,2/5/2020,N30,4,Pcs,759151,3036604,Grosir,Surabaya
C003,UD Sentosa,INV20200206293,B001,Laptop Lenovo,2/6/2020,N30,17,Unit,626414,10649038,Grosir,Surabaya
C001,PT Sinar Jaya,INV20200206770,B001,Laptop Lenovo,2/6/2020,N15,6,Pcs,1094928,6569568,Grosir,Jakarta
C001,PT Sinar Jaya,INV20200206655,B003,Mouse Logitech,2/6/2020,N7,9,Unit,1437060,12933540,Grosir,Jakarta
C001,PT Sinar Jaya,INV20200206840,B005,Monitor Samsung,2/6/2020,N30,17,Pcs,235544,4004248,Retail,Jakarta
C001,PT Sinar Jaya,INV20200207343,B002,Printer Epson,2/7/2020,N15,17,Unit,1399731,23795427,Distributor,Jakarta
C001,PT Sinar Jaya,INV20200207633,B002,Printer Epson,2/7/2020,N15,7,Unit,1829242,12804694,Distributor,Jakarta
C002,CV Maju Terus,INV20200207641,B004,Keyboard Mechanical,2/7/2020,N7,3,Pcs,1466049,4398147,Grosir,Bandung
C004,PT Makmur Bersama,INV20200208524,B004,Keyboard Mechanical,2/8/2020,N7,11,Unit,566764,6234404,Distributor,Medan
C005,CV Berkah Abadi,INV20200208105,B003,Mouse Logitech,2/8/2020,N15,4,Pcs,553555,2214220,Distributor,Semarang
C004,PT Makmur Bersama,INV20200208119,B003,Mouse Logitech,2/8/2020,N15,14,Pcs,387527,5425378,Distributor,Medan
C001,PT Sinar Jaya,INV20200208617,B002,Printer Epson,2/8/2020,N7,2,Unit,1855346,3710692,Retail,Jakarta
C001,PT Sinar Jaya,INV20200208145,B001,Laptop Lenovo,2/8/2020,N15,7,Pcs,1627173,11390211,Distributor,Jakarta
C002,CV Maju Terus,INV20200208919,B003,Mouse Logitech,2/8/2020,N15,6,Pcs,1057925,6347550,Retail,Bandung
C002,CV Maju Terus,INV20200209970,B001,Laptop Lenovo,2/9/2020,N15,11,Unit,1502954,16532494,Grosir,Bandung
C005,CV Berkah Abadi,INV20200209681,B001,Laptop Lenovo,2/9/2020,N7,16,Unit,1391839,22269424,Distributor,Semarang
C003,UD Sentosa,INV20200210811,B004,Keyboard Mechanical,2/10/2020,N15,10,Unit,1839249,18392490,Retail,Surabaya
C005,CV Berkah Abadi,INV20200210992,B005,Monitor Samsung,2/10/2020,N30,19,Unit,1444754,27450326,Distributor,Semarang
C001,PT Sinar Jaya,INV20200210503,B005,Monitor Samsung,2/10/2020,N30,11,Pcs,1623238,17855618,Distributor,Jakarta
C001,PT Sinar Jaya,INV20200210874,B002,Printer Epson,2/10/2020,N30,15,Unit,1796177,26942655,Retail,Jakarta
C004,PT Makmur Bersama,INV20200211931,B005,Monitor Samsung,2/11/2020,N30,4,Unit,616023,2464092,Distributor,Medan
C003,UD Sentosa,INV20200211134,B005,Monitor Samsung,2/11/2020,N30,20,Pcs,957641,19152820,Retail,Surabaya
C002,CV Maju Terus,INV20200211211,B005,Monitor Samsung,2/11/2020,N15,5,Pcs,1759112,8795560,Grosir,Bandung
C005,CV Berkah Abadi,INV20200211876,B001,Laptop Lenovo,2/11/2020,N7,13,Pcs,228472,2970136,Retail,Semarang
C002,CV Maju Terus,INV20200212639,B002,Printer Epson,2/12/2020,N7,16,Pcs,1838859,29421744,Retail,Bandung
C004,PT Makmur Bersama,INV20200212161,B004,Keyboard Mechanical,2/12/2020,N30,19,Unit,1241555,23589545,Distributor,Medan
C001,PT Sinar Jaya,INV20200213346,B004,Keyboard Mechanical,2/13/2020,N15,10,Pcs,1611570,16115700,Grosir,Jakarta
C005,CV Berkah Abadi,INV20200213932,B002,Printer Epson,2/13/2020,N7,2,Pcs,1563935,3127870,Retail,Semarang
C001,PT Sinar Jaya,INV20200213964,B003,Mouse Logitech,2/13/2020,N15,14,Pcs,562682,7877548,Grosir,Jakarta
C002,CV Maju Terus,INV20200213679,B003,Mouse Logitech,2/13/2020,N30,15,Pcs,1464032,21960480,Distributor,Bandung
C001,PT Sinar Jaya,INV20200213839,B004,Keyboard Mechanical,2/13/2020,N30,1,Pcs,452435,452435,Retail,Jakarta
C003,UD Sentosa,INV20200213676,B005,Monitor Samsung,2/13/2020,N7,14,Unit,522635,7316890,Retail,Surabaya
C001,PT Sinar Jaya,INV20200214590,B002,Printer Epson,2/14/2020,N30,9,Pcs,1853834,16684506,Grosir,Jakarta
C001,PT Sinar Jaya,INV20200215389,B005,Monitor Samsung,2/15/2020,N30,4,Unit,526495,2105980,Distributor,Jakarta
C002,CV Maju Terus,INV20200215877,B004,Keyboard Mechanical,2/15/2020,N30,11,Unit,1732650,19059150,Distributor,Bandung
C004,PT Makmur Bersama,INV20200215284,B001,Laptop Lenovo,2/15/2020,N7,14,Pcs,1417138,19839932,Grosir,Medan
C002,CV Maju Terus,INV20200215126,B005,Monitor Samsung,2/15/2020,N15,4,Pcs,360847,1443388,Retail,Bandung
C005,CV Berkah Abadi,INV20200216676,B003,Mouse Logitech,2/16/2020,N15,8,Pcs,1593360,12746880,Distributor,Semarang
C004,PT Makmur Bersama,INV20200216687,B002,Printer Epson,2/16/2020,N15,3,Unit,180179,540537,Grosir,Medan
C002,CV Maju Terus,INV20200216851,B005,Monitor Samsung,2/16/2020,N7,8,Unit,230093,1840744,Retail,Bandung
C001,PT Sinar Jaya,INV20200216547,B003,Mouse Logitech,2/16/2020,N15,16,Unit,384027,6144432,Distributor,Jakarta
C002,CV Maju Terus,INV20200216427,B004,Keyboard Mechanical,2/16/2020,N15,13,Unit,1599040,20787520,Grosir,Bandung
C002,CV Maju Terus,INV20200217166,B001,Laptop Lenovo,2/17/2020,N15,2,Pcs,747220,1494440,Retail,Bandung
C002,CV Maju Terus,INV20200217660,B003,Mouse Logitech,2/17/2020,N7,13,Pcs,667533,8677929,Distributor,Bandung
C001,PT Sinar Jaya,INV20200217762,B005,Monitor Samsung,2/17/2020,N7,5,Pcs,1956042,9780210,Retail,Jakarta
C003,UD Sentosa,INV20200218605,B004,Keyboard Mechanical,2/18/2020,N7,11,Unit,1112237,12234607,Grosir,Surabaya
C001,PT Sinar Jaya,INV20200218164,B004,Keyboard Mechanical,2/18/2020,N30,14,Pcs,1454865,20368110,Grosir,Jakarta
C001,PT Sinar Jaya,INV20200218590,B002,Printer Epson,2/18/2020,N7,6,Unit,258964,1553784,Distributor,Jakarta
C005,CV Berkah Abadi,INV20200218321,B001,Laptop Lenovo,2/18/2020,N30,12,Pcs,659277,7911324,Grosir,Semarang
C004,PT Makmur Bersama,INV20200219489,B004,Keyboard Mechanical,2/19/2020,N15,5,Unit,1912143,9560715,Retail,Medan
C004,PT Makmur Bersama,INV20200219141,B005,Monitor Samsung,2/19/2020,N30,18,Unit,870898,15676164,Distributor,Medan
C005,CV Berkah Abadi,INV20200219640,B005,Monitor Samsung,2/19/2020,N15,9,Pcs,1906737,17160633,Grosir,Semarang
C003,UD Sentosa,INV20200219371,B004,Keyboard Mechanical,2/19/2020,N15,18,Pcs,1063011,19134198,Retail,Surabaya
C003,UD Sentosa,INV20200219965,B003,Mouse Logitech,2/19/2020,N30,4,Pcs,670912,2683648,Distributor,Surabaya
C001,PT Sinar Jaya,INV20200219628,B005,Monitor Samsung,2/19/2020,N7,2,Unit,1743155,3486310,Grosir,Jakarta
C005,CV Berkah Abadi,INV20200220297,B001,Laptop Lenovo,2/20/2020,N7,15,Unit,1321850,19827750,Grosir,Semarang
C001,PT Sinar Jaya,INV20200220533,B005,Monitor Samsung,2/20/2020,N7,10,Pcs,1634193,16341930,Retail,Jakarta
C005,CV Berkah Abadi,INV20200220819,B003,Mouse Logitech,2/20/2020,N30,8,Pcs,1681519,13452152,Distributor,Semarang
C005,CV Berkah Abadi,INV20200220873,B004,Keyboard Mechanical,2/20/2020,N30,20,Unit,436496,8729920,Grosir,Semarang
C004,PT Makmur Bersama,INV20200220570,B003,Mouse Logitech,2/20/2020,N15,8,Unit,1687186,13497488,Grosir,Medan
C005,CV Berkah Abadi,INV20200220784,B001,Laptop Lenovo,2/20/2020,N15,1,Unit,1840926,1840926,Retail,Semarang
C003,UD Sentosa,INV20200221596,B003,Mouse Logitech,2/21/2020,N30,4,Unit,1370800,5483200,Retail,Surabaya
C005,CV Berkah Abadi,INV20200222439,B003,Mouse Logitech,2/22/2020,N15,8,Unit,865013,6920104,Distributor,Semarang
C003,UD Sentosa,INV20200222329,B003,Mouse Logitech,2/22/2020,N15,5,Unit,631139,3155695,Grosir,Surabaya
C004,PT Makmur Bersama,INV20200222125,B005,Monitor Samsung,2/22/2020,N15,17,Unit,1379233,23446961,Retail,Medan
C001,PT Sinar Jaya,INV20200223780,B001,Laptop Lenovo,2/23/2020,N7,14,Pcs,187036,2618504,Grosir,Jakarta
C002,CV Maju Terus,INV20200223119,B003,Mouse Logitech,2/23/2020,N7,2,Unit,721255,1442510,Distributor,Bandung
C004,PT Makmur Bersama,INV20200223512,B005,Monitor Samsung,2/23/2020,N7,10,Pcs,1518844,15188440,Distributor,Medan
C004,PT Makmur Bersama,INV20200223875,B001,Laptop Lenovo,2/23/2020,N7,6,Pcs,1624919,9749514,Retail,Medan
C005,CV Berkah Abadi,INV20200223335,B005,Monitor Samsung,2/23/2020,N7,18,Pcs,1083179,19497222,Grosir,Semarang
C002,CV Maju Terus,INV20200224318,B003,Mouse Logitech,2/24/2020,N30,8,Pcs,1036358,8290864,Retail,Bandung
C004,PT Makmur Bersama,INV20200224716,B004,Keyboard Mechanical,2/24/2020,N7,11,Unit,290247,3192717,Retail,Medan
C002,CV Maju Terus,INV20200224851,B004,Keyboard Mechanical,2/24/2020,N7,18,Pcs,244918,4408524,Grosir,Bandung
C001,PT Sinar Jaya,INV20200225819,B002,Printer Epson,2/25/2020,N15,20,Pcs,1699268,33985360,Distributor,Jakarta
C004,PT Makmur Bersama,INV20200225810,B003,Mouse Logitech,2/25/2020,N15,4,Pcs,1403501,5614004,Distributor,Medan
C002,CV Maju Terus,INV20200225519,B004,Keyboard Mechanical,2/25/2020,N7,17,Pcs,1646027,27982459,Grosir,Bandung
C005,CV Berkah Abadi,INV20200225177,B005,Monitor Samsung,2/25/2020,N15,12,Unit,101919,1223028,Distributor,Semarang
C004,PT Makmur Bersama,INV20200226721,B002,Printer Epson,2/26/2020,N30,19,Pcs,207842,3948998,Grosir,Medan
C004,PT Makmur Bersama,INV20200227307,B005,Monitor Samsung,2/27/2020,N7,3,Unit,1993893,5981679,Distributor,Medan
C001,PT Sinar Jaya,INV20200227758,B002,Printer Epson,2/27/2020,N7,2,Unit,1579843,3159686,Retail,Jakarta
C002,CV Maju Terus,INV20200227554,B005,Monitor Samsung,2/27/2020,N15,5,Pcs,1680607,8403035,Distributor,Bandung
C004,PT Makmur Bersama,INV20200227101,B003,Mouse Logitech,2/27/2020,N7,13,Unit,1156015,15028195,Distributor,Medan
C005,CV Berkah Abadi,INV20200227847,B001,Laptop Lenovo,2/27/2020,N15,11,Pcs,692810,7620910,Grosir,Semarang
C003,UD Sentosa,INV20200227467,B005,Monitor Samsung,2/27/2020,N7,18,Pcs,347084,6247512,Retail,Surabaya
C004,PT Makmur Bersama,INV20200228552,B003,Mouse Logitech,2/28/2020,N30,9,Pcs,352855,3175695,Retail,Medan
C002,CV Maju Terus,INV20200228530,B001,Laptop Lenovo,2/28/2020,N15,16,Unit,940593,15049488,Grosir,Bandung
C003,UD Sentosa,INV20200228177,B001,Laptop Lenovo,2/28/2020,N7,4,Unit,1599825,6399300,Retail,Surabaya
C001,PT Sinar Jaya,INV20200228431,B002,Printer Epson,2/28/2020,N7,5,Unit,453694,2268470,Retail,Jakarta
C002,CV Maju Terus,INV20200229935,B005,Monitor Samsung,2/29/2020,N30,11,Pcs,728323,8011553,Grosir,Bandung
C005,CV Berkah Abadi,INV20200229689,B004,Keyboard Mechanical,2/29/2020,N15,17,Unit,897054,15249918,Distributor,Semarang
C003,UD Sentosa,INV20200229638,B005,Monitor Samsung,2/29/2020,N15,11,Pcs,1379101,15170111,Retail,Surabaya
C005,CV Berkah Abadi,INV20200301523,B001,Laptop Lenovo,3/1/2020,N15,10,Unit,831569,8315690,Retail,Semarang
C004,PT Makmur Bersama,INV20200301699,B004,Keyboard Mechanical,3/1/2020,N15,5,Unit,1628797,8143985,Distributor,Medan
C001,PT Sinar Jaya,INV20200301504,B002,Printer Epson,3/1/2020,N7,9,Unit,973130,8758170,Retail,Jakarta
C001,PT Sinar Jaya,INV20200302111,B004,Keyboard Mechanical,3/2/2020,N15,1,Pcs,358123,358123,Retail,Jakarta
C004,PT Makmur Bersama,INV20200302907,B004,Keyboard Mechanical,3/2/2020,N7,16,Unit,842690,13483040,Retail,Medan
C001,PT Sinar Jaya,INV20200302473,B003,Mouse Logitech,3/2/2020,N30,6,Unit,1248433,7490598,Distributor,Jakarta
C001,PT Sinar Jaya,INV20200303912,B002,Printer Epson,3/3/2020,N7,9,Unit,1605300,14447700,Distributor,Jakarta
C002,CV Maju Terus,INV20200303655,B005,Monitor Samsung,3/3/2020,N30,7,Unit,915422,6407954,Retail,Bandung
C003,UD Sentosa,INV20200303211,B001,Laptop Lenovo,3/3/2020,N30,12,Unit,267517,3210204,Retail,Surabaya
C003,UD Sentosa,INV20200303438,B003,Mouse Logitech,3/3/2020,N7,5,Pcs,1337393,6686965,Grosir,Surabaya
C002,CV Maju Terus,INV20200303983,B003,Mouse Logitech,3/3/2020,N7,8,Unit,1063687,8509496,Grosir,Bandung
C003,UD Sentosa,INV20200303222,B001,Laptop Lenovo,3/3/2020,N7,6,Pcs,1215575,7293450,Retail,Surabaya
C001,PT Sinar Jaya,INV20200304576,B003,Mouse Logitech,3/4/2020,N30,6,Unit,1264456,7586736,Distributor,Jakarta
C005,CV Berkah Abadi,INV20200304122,B003,Mouse Logitech,3/4/2020,N7,11,Unit,145792,1603712,Distributor,Semarang
